iter	Passed	Remaining
888	46832	5847
889	46856	5791
890	46876	5734
891	46898	5678
892	46919	5621
893	46938	5565
894	46962	5509
895	46991	5454
896	47012	5398
897	47032	5342
898	47055	5286
899	47077	5230
900	47097	5174
901	47118	5119
902	47139	5063
903	47160	5008
904	47181	4952
905	47203	4897
906	47224	4842
907	47243	4786
908	47265	4731
909	47287	4676
910	47308	4621
911	47328	4566
912	47347	4511
913	47368	4456
914	47390	4402
915	47410	4347
916	47428	4292
917	47449	4238
918	47469	4183
919	47488	4129
920	47509	4075
921	47529	4020
922	47549	3966
923	47569	3912
924	47587	3858
925	47609	3804
926	47631	3750
927	47653	3697
928	47674	3643
929	47698	3590
930	47727	3537
931	47766	3485
932	47788	3431
933	47811	3378
934	47831	3325
935	47849	3271
936	47868	3218
937	47887	3165
938	47918	3112
939	47943	3060
940	47972	3007
941	47997	2955
942	48031	2903
943	48055	2850
944	48080	2798
945	48104	2745
946	48130	2693
947	48153	2641
948	48173	2588
949	48192	2536
950	48211	2484
951	48234	2431
952	48254	2379
953	48278	2327
954	48298	2275
955	48320	2223
956	48343	2172
957	48365	2120
958	48383	2068
959	48404	2016
960	48425	1965
961	48448	1913
962	48469	1862
963	48498	1811
964	48519	1759
965	48559	1709
966	48584	1657
967	48609	1606
968	48633	1555
969	48659	1504
970	48684	1454
971	48710	1403
972	48737	1352
973	48767	1301
974	48785	1250
975	48804	1200
976	48824	1149
977	48844	1098
978	48865	1048
979	48885	997
980	48906	947
981	48928	896
982	48948	846
983	48968	796
984	48992	746
985	49013	695
986	49036	645
987	49057	595
988	49078	545
989	49100	495
990	49122	446
991	49162	396
992	49199	346
993	49230	297
994	49265	247
995	49311	198
996	49408	148
997	49623	99
998	49718	49
999	49791	0
